"LapTimeID","RideID","LapID","LStart","LFinish","LTime","LHRAverage","LDis","LAscent","LCadenceAv","LTemperature","LapNotes","Gen_LapNotes","s_ColLineage","s_Generation","s_GUID","s_Lineage"
407,681,2,"1899-12-30 01:07:55","1899-12-30 01:14:11","1899-12-30 00:06:16",164,,,,,,1,,0,,
408,683,54,"1899-12-30 01:21:36","1899-12-30 01:37:28","1899-12-30 00:15:52",129,,,,,,1,,0,,
409,683,2,"1899-12-30 01:58:24","1899-12-30 02:06:07","1899-12-30 00:07:43",118,,,,,,1,,0,,
410,684,2,"1899-12-30 02:58:48","1899-12-30 03:05:04","1899-12-30 00:06:16",139,,,,,,1,,0,,
411,685,40,"1899-12-30 00:09:18","1899-12-30 00:12:09","1899-12-30 00:02:51",149,,,,,,1,,0,,
412,685,54,"1899-12-30 04:58:00","1899-12-30 05:13:19","1899-12-30 00:15:19",143,,,,,,1,,0,,
413,685,2,"1899-12-30 05:33:12","1899-12-30 05:40:50","1899-12-30 00:07:38",131,,,,,,1,,0,,
414,690,40,"1899-12-30 00:10:51","1899-12-30 00:14:52","1899-12-30 00:04:01",146,,,,,,1,,0,,
415,695,182,"1899-12-30 00:45:11","1899-12-30 01:10:54","1899-12-30 00:25:43",176,,,,,,1,,0,,
416,696,54,"1899-12-30 01:31:11","1899-12-30 01:45:42","1899-12-30 00:14:31",168,,,,,,1,,0,,
417,696,2,"1899-12-30 02:03:30","1899-12-30 02:09:28","1899-12-30 00:05:58",168,,,,,,1,,0,,
418,700,11,"1899-12-30 01:01:00","1899-12-30 01:22:23","1899-12-30 00:21:23",175,,,,,,1,,0,,
419,701,11,"1899-12-30 01:08:00","1899-12-30 01:25:38","1899-12-30 00:17:38",177,,,,,,1,,0,,
420,701,197,"1899-12-30 01:41:34","1899-12-30 01:55:51","1899-12-30 00:14:17",161,3.77,210,,,,1,,94,,
421,701,58,"1899-12-30 02:10:55","1899-12-30 02:22:15","1899-12-30 00:11:20",158,2.48,210,,,,1,,94,,
422,703,40,"1899-12-30 00:19:26","1899-12-30 00:23:39","1899-12-30 00:04:13",137,,,,,,1,,0,,
423,703,11,"1899-12-30 01:17:47","1899-12-30 01:35:14","1899-12-30 00:17:27",170,,,,,,1,,0,,
424,705,40,"1899-12-30 00:10:15","1899-12-30 00:14:04","1899-12-30 00:03:49",148,,,,,,1,,0,,
425,705,56,"1899-12-30 01:53:49","1899-12-30 01:59:46","1899-12-30 00:05:57",178,,,,,,1,,0,,
426,708,56,"1899-12-30 00:42:40","1899-12-30 00:50:00","1899-12-30 00:07:20",177,,,,,,1,,0,,
427,710,40,"1899-12-30 00:10:35","1899-12-30 00:15:02","1899-12-30 00:04:27",128,,,,,,1,,0,,
428,710,56,"1899-12-30 00:49:15","1899-12-30 00:55:35","1899-12-30 00:06:20",167,,,,,,1,,0,,
429,710,183,"1899-12-30 01:06:21","1899-12-30 01:25:47","1899-12-30 00:19:26",145,5.57,270,,,,1,,94,,
430,710,2,"1899-12-30 01:51:43","1899-12-30 01:58:29","1899-12-30 00:06:46",130,,,,,,1,,0,,
431,712,206,"1899-12-30 01:40:20","1899-12-30 02:08:58","1899-12-30 00:28:38",154,,,,,,1,,0,,
432,717,207,"1899-12-30 02:23:17","1899-12-30 02:33:43","1899-12-30 00:10:26",140,2.9,110,,,,1,,94,,
433,718,40,"1899-12-30 00:09:53","1899-12-30 00:14:00","1899-12-30 00:04:07",131,,,,,,1,,0,,
434,720,209,"1899-12-30 01:09:46","1899-12-30 01:16:35","1899-12-30 00:06:49",174,,,,,,1,,0,,
435,721,40,"1899-12-30 00:10:13","1899-12-30 00:13:39","1899-12-30 00:03:26",143,,,,,,1,,0,,
436,721,208,"1899-12-30 01:30:45","1899-12-30 01:39:58","1899-12-30 00:09:13",147,,,,,,1,,0,,
437,721,182,"1899-12-30 02:52:37","1899-12-30 03:20:26","1899-12-30 00:27:49",150,,,,,,1,,0,,
438,722,40,"1899-12-30 00:10:34","1899-12-30 00:14:40","1899-12-30 00:04:06",132,,,,,,1,,0,,
439,723,56,"1899-12-30 01:14:59","1899-12-30 01:23:21","1899-12-30 00:08:22",172,,,,,,1,,0,,
440,724,40,"1899-12-30 00:10:30","1899-12-30 00:14:41","1899-12-30 00:04:11",132,,,,,,1,,0,,
441,725,40,"1899-12-30 00:09:58","1899-12-30 00:13:36","1899-12-30 00:03:38",150,,,,,,1,,0,,
442,726,40,"1899-12-30 00:10:28","1899-12-30 00:14:22","1899-12-30 00:03:54",148,,,,,,1,,0,,
443,726,11,"1899-12-30 01:25:25","1899-12-30 01:44:12","1899-12-30 00:18:47",168,,,,,,1,,0,,
444,726,56,"1899-12-30 02:22:11","1899-12-30 02:29:11","1899-12-30 00:07:00",164,,,,,,1,,0,,
445,727,54,"1899-12-30 00:30:59","1899-12-30 00:45:57","1899-12-30 00:14:58",137,,,,,,1,,0,,
446,727,2,"1899-12-30 01:05:25","1899-12-30 01:11:44","1899-12-30 00:06:19",138,,,,,,1,,0,,
447,728,11,"1899-12-30 00:33:43","1899-12-30 00:53:52","1899-12-30 00:20:09",176,,,,,,1,,0,,
448,728,56,"1899-12-30 01:24:53","1899-12-30 01:33:08","1899-12-30 00:08:15",172,,,,,,1,,0,,
449,729,54,"1899-12-30 03:10:36","1899-12-30 03:23:10","1899-12-30 00:12:34",165,,,,,,1,,0,,
450,729,2,"1899-12-30 03:42:32","1899-12-30 03:52:05","1899-12-30 00:09:33",123,,,,,,1,,0,,
452,732,2,"1899-12-30 03:55:00","1899-12-30 04:01:49","1899-12-30 00:06:49",140,,,,,,1,,0,,
453,733,2,"1899-12-30 03:55:02","1899-12-30 04:01:54","1899-12-30 00:06:52",169,,,,,,1,,0,,
455,736,54,"1899-12-30 01:18:06","1899-12-30 01:30:34","1899-12-30 00:12:28",153,,,,,,1,,0,,
456,736,2,"1899-12-30 01:46:21","1899-12-30 01:50:26","1899-12-30 00:04:05",169,,,,,,1,,0,,
457,736,210,"1899-12-30 01:30:34","1899-12-30 01:46:21","1899-12-30 00:15:47",125,,,,,,1,,0,,
458,737,40,"1899-12-30 00:09:45","1899-12-30 00:13:20","1899-12-30 00:03:35",128,,,,,,1,,0,,
459,737,54,"1899-12-30 00:37:51","1899-12-30 00:48:43","1899-12-30 00:10:52",180,,,,,,1,,0,,
461,740,211,"1899-12-30 00:00:00","1899-12-30 00:14:11","1899-12-30 00:14:11",171,4.26,,,,,1,,94,,
462,740,211,"1899-12-30 00:14:11","1899-12-30 00:29:16","1899-12-30 00:15:05",174,4.26,,,,,1,,94,,
463,740,211,"1899-12-30 00:29:16","1899-12-30 00:44:06","1899-12-30 00:14:50",169,4.26,,,,,1,,94,,
464,740,211,"1899-12-30 00:44:06","1899-12-30 00:59:05","1899-12-30 00:14:59",168,4.26,,,,,1,,94,,
465,740,211,"1899-12-30 00:59:05","1899-12-30 01:13:49","1899-12-30 00:14:44",168,4.26,,,,,1,,94,,
466,740,211,"1899-12-30 01:13:49","1899-12-30 01:28:52","1899-12-30 00:15:03",168,4.26,,,,,1,,94,,
467,741,211,"1899-12-30 00:29:34","1899-12-30 00:49:43","1899-12-30 00:20:09",164,,,,,,1,,0,,
468,741,211,"1899-12-30 00:49:43","1899-12-30 01:10:00","1899-12-30 00:20:17",181,,,,,,1,,0,,
469,741,211,"1899-12-30 01:10:00","1899-12-30 01:30:50","1899-12-30 00:20:50",180,,,,,"forgot to press lap at end of race",1,,0,,
470,743,11,"1899-12-30 01:31:49","1899-12-30 01:51:48","1899-12-30 00:19:59",159,,,,,,1,,0,,
471,744,11,"1899-12-30 01:25:16","1899-12-30 01:48:09","1899-12-30 00:22:53",173,,,,,,1,,0,,
473,748,40,"1899-12-30 00:09:32","1899-12-30 00:13:37","1899-12-30 00:04:05",123,,,,,,1,,0,,
474,748,11,"1899-12-30 01:07:48","1899-12-30 01:25:23","1899-12-30 00:17:35",171,,,,,,1,,0,,
475,748,185,"1899-12-30 01:49:52","1899-12-30 01:57:23","1899-12-30 00:07:31",170,,,,,,1,,0,,
