"Activity Score","When","Type","Gear","Name","Dist km","Elv m","Elapsed Time","Moving Time","Start Time","Day of Week","Speed km/h","Max Speed km/h","Pace /km","Max Pace /km","Pace /100m","Max Pace /100m","Pwr W","Weighted Avg Pwr W","Max Pwr W","Power Meter","Cad","Heart","Max Heart","Elev/Dist m/km","Elev/Time m/h","W/HR","Speed/HR","Temp °C","Cal","Energy kJ","Segs","PRs","Group Size","Kudos","Comments","Com","Trn","Man","Pri","Dist away km","Activity Score 25%","Training Load","Intensity %","Segment PRs (K/QOM positions)","All segments (personal positions)","Ride/Run Type","400m","1 km","5 km","10 km","15 km","20 km","30 km","50 km","1/2 Mile","1 mile","2 mile","10 mile","Half Marathon","Marathon","Relative Effort","Points in red","% in red","H/R Zone 1","H/R Zone 2","H/R Zone 3","H/R Zone 4","H/R Zone 5","Power 0W","Power 0-50W","Power 50-100W","Power 100-150W","Power 150-200W","Power 200-250W","Power 250-300W","Power 300-350W","Power 350-400W","Power 400-450W","Power 450W+","Pace Zone 1","Pace Zone 2","Pace Zone 3","Pace Zone 4","Pace Zone 5","Flagged","Description","City","State","Tiles calculated","Device/App","Activity Id","Activity Id"
50.201365187713314,"2019-04-10 07:00:00","Ride","a perfect blend","Morning Ride",6150.5,8,1062,1039,25200,"Wednesday",5.9196,8.1,168.9,123.46,16.89,12.346,105.1,0,,0,0,,0,1.3,27.7,0,0,10,124.3,109.2,2,0,1,0,0,1,0,0,1,-1,74.40273037542663,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,229,132,136,260,179,42,43,15,1,1,1,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2278880518,2278880518
33.33803361904761,"2019-04-06 09:59:42","Ride","a perfect blend","Morning Ride",149051,2540,41898,24657,35982,"Saturday",6.045,16.4,165.39999999999998,60.98,16.54,6.098,169.2,0,,0,0,,0,17.04,370.8,0,0,20,4771.3,4171.1,38,12,3,0,0,0,0,0,1,-1,55,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4305,1757,2719,2260,3539,4161,2104,1493,1282,522,515,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2268662627,2268662627
86.6757257942879,"2019-04-03 17:38:44","Ride","a perfect blend","Afternoon Ride",5999.6,37,1196,1096,63524,"Wednesday",5.4741,8.3,182.7,120.48,18.27,12.048,141,0,,0,0,,0,6.17,121.5,0,0,21,176.8,154.5,8,0,1,0,0,1,0,0,1,-1,94.61224408902629,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,146,86,172,260,174,86,111,50,11,0,0,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2261513047,2261513047
21.888289774135135,"2019-04-03 07:20:13","Ride","a perfect blend","Morning Ride",32320.3,715,7669,7226,26413,"Wednesday",4.4728,13.9,223.6,71.94,22.36,7.194000000000001,128,0,,0,0,,0,22.12,356.2,0,0,15,1064.1,925.1,28,0,1,0,0,0,0,0,1,-1,46.94901060728243,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1584,797,946,584,1562,1018,145,392,166,13,19,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2261513925,2261513925
43.92857142857144,"2019-03-30 07:50:30","Ride","a perfect blend","Morning Ride",84470.9,1612,18843,15616,28230,"Saturday",5.4093,16,184.9,62.5,18.490000000000002,6.25,149.7,0,,0,0,,0,19.08,371.6,0,0,11,2682.7,2337,25,13,1,0,0,0,0,0,1,-1,61.80555555555556,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4109,1373,1418,1372,2370,1653,911,946,768,255,441,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2250603760,2250603760
59.14739599977457,"2019-03-29 15:41:28","Ride","a perfect blend","Afternoon Ride",94167,1263,24805,16383,56488,"Friday",5.7478,12.7,174,78.74000000000001,17.4,7.8740000000000006,172,0,,0,0,,0,13.41,277.5,0,0,12,3221.8,2818.1,63,46,1,0,0,0,0,0,1,-1,80,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2445,1578,1799,1764,2646,1985,1227,1169,775,419,576,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2249083991,2249083991
55.991277967387184,"2019-03-29 08:17:49","Ride","a perfect blend","Morning Ride",6965.4,20,2641,1301,29869,"Friday",5.3539,9,186.79999999999998,111.11,18.68,11.111,103.7,0,,0,0,,0,2.87,55.3,0,0,18,154.1,134.9,2,0,1,0,0,1,0,0,1,-1,80.2047781569966,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,288,195,179,262,218,64,57,33,3,1,1,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2248115773,2248115773
42.8800721034395,"2019-03-27 06:44:48","Ride","a perfect blend","Morning Ride",63825,1462,13253,10957,24288,"Wednesday",5.825,21.3,171.7,46.949999999999996,17.169999999999998,4.695,175.6,0,,0,0,,0,22.91,480.3,0,0,9,2204.3,1923.7,85,2,2,0,0,0,0,0,1,-1,78.14642349773152,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1826,716,1138,878,1580,2085,808,752,761,193,220,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2243335632,2243335632
45.49693086054951,"2019-03-24 09:20:40","Ride","a perfect blend","Morning Ride",26216.5,642,5699,5416,33640,"Sunday",4.8406,15.7,206.6,63.69,20.66,6.369,149,0,,0,0,,0,24.49,426.7,0,0,20,927.8,807.1,22,1,2,0,0,0,0,0,1,-1,77.58688112313283,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1064,495,527,447,1102,894,267,338,198,44,40,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2238562592,2238562592
45.69173454674701,"2019-03-23 08:13:13","Ride","a perfect blend","Morning Ride",71401.1,1760,15464,13071,29593,"Saturday",5.4626,16.9,183.10000000000002,59.17,18.310000000000002,5.917,177.4,0,,0,0,,0,24.65,484.7,0,0,19,2660.7,2318.8,45,5,2,0,0,0,0,0,1,-1,77.35175990896226,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2565,936,1140,978,1804,2110,925,971,977,279,386,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2232895652,2232895652
69.82604951688155,"2019-03-20 17:08:59","Ride","a perfect blend","Afternoon Ride",6064.2,34,1268,1148,61739,"Wednesday",5.2824,8.7,189.29999999999998,114.94,18.93,11.494,134.7,0,,0,0,,0,5.61,106.6,0,0,24,177,154.7,8,0,1,0,0,1,0,0,1,-1,95.51651199362112,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,128,98,226,292,156,97,103,40,8,0,0,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2226240767,2226240767
64.17808537613355,"2019-03-20 06:18:10","Ride","a perfect blend","Morning Ride",55733.3,1077,11404,8993,22690,"Wednesday",6.1974,19.5,161.39999999999998,51.28,16.14,5.128,184.1,0,,0,0,,0,19.32,431.1,0,0,14,1893.5,1655.5,71,5,2,0,0,0,0,0,1,-1,93.83702762763096,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1433,618,1005,935,1009,1326,792,664,625,290,296,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2226241562,2226241562
61.196175750437654,"2019-03-17 12:21:26","Ride","a perfect blend","Lunch Ride",32448.3,771,8438,6299,44486,"Sunday",5.1513,16.2,194.1,61.73,19.41,6.173,161.3,0,,0,0,,0,23.76,440.6,0,0,31,1168.2,1015.8,31,2,2,0,0,0,0,0,1,-1,93.53833638581986,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1507,428,530,467,781,1125,500,403,379,119,60,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2218539282,2218539282
73.35363003660784,"2019-03-13 17:16:04","Ride","a perfect blend","Afternoon Ride",6037.5,36,1142,1057,62164,"Wednesday",5.7119,9.2,175.1,108.7,17.51,10.870000000000001,147.3,0,,0,0,,0,5.96,122.6,0,0,18,178,155.7,8,0,1,0,0,1,0,0,1,-1,98.34104852820661,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,113,66,176,256,165,114,107,47,11,2,0,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2210027333,2210027333
